Project ID,T type sub-class,Avg ISI,F I curve slope
1HEYEW7GMUKWIQW37BO,Sst interneuron,145.72,0.185
1HEYEW7GMUKWIQW37BO,Sst interneuron,59.89333333,0.363157895
1HEYEW7GMUKWIQW37BO,Vip interneuron,19.51333333,0.092362153
1HEYEW7GMUKWIQW37BO,Vip interneuron,51.35157895,0.394194308
1HEYEW7GMUKWIQW37BO,Sst interneuron,45.3,0.415
1HEYEW7GMUKWIQW37BO,Sst interneuron,173.445,0.082407407
1HEYEW7GMUKWIQW37BO,Vip interneuron,41.696,0.04
1HEYEW7GMUKWIQW37BO,Vip interneuron,32.568,0.050714285
1HEYEW7GMUKWIQW37BO,Vip interneuron,58.79428571,0.225
1HEYEW7GMUKWIQW37BO,Sst interneuron,85.648,0.111134155
1HEYEW7GMUKWIQW37BO,Vip interneuron,44.0152381,0.429999987
1HEYEW7GMUKWIQW37BO,Sst interneuron,64.23866667,0.207142857
1HEYEW7GMUKWIQW37BO,Sst interneuron,42.61619048,0.426315807
1HEYEW7GMUKWIQW37BO,Sst interneuron,72.498,0.377142841
1HEYEW7GMUKWIQW37BO,Vip interneuron,21.324,0.036428571
1HEYEW7GMUKWIQW37BO,Sst interneuron,56.315,0.317857143
1HEYEW7GMUKWIQW37BO,Vip interneuron,139.4866667,0.016428571
1HEYEW7GMUKWIQW37BO,Vip interneuron,32.696,0.124025972
1HEYEW7GMUKWIQW37BO,Sst interneuron,56.52235294,0.405000025
1HEYEW7GMUKWIQW37BO,Sst interneuron,56.33411765,0.500862074
1HEYEW7GMUKWIQW37BO,Vip interneuron,32.74888889,0.414893607
1HEYEW7GMUKWIQW37BO,Vip interneuron,34.60740741,0.000714275
1HEYEW7GMUKWIQW37BO,Sst interneuron,75.52833333,0.321551724
1HEYEW7GMUKWIQW37BO,Sst interneuron,44.38272727,0.587068992
1HEYEW7GMUKWIQW37BO,Sst interneuron,67.91666667,0.355
1HEYEW7GMUKWIQW37BO,Vip interneuron,76.73818182,0.246793851
1HEYEW7GMUKWIQW37BO,Sst interneuron,62.05428571,0.34
1HEYEW7GMUKWIQW37BO,Vip interneuron,10.48,0.120833333
1HEYEW7GMUKWIQW37BO,Vip interneuron,28.98909091,0.033571431
1HEYEW7GMUKWIQW37BO,Sst interneuron,49.46,0.296551724
1HEYEW7GMUKWIQW37BO,Vip interneuron,61.565,0.305
1HEYEW7GMUKWIQW37BO,Sst interneuron,49.21444444,0.410000026
1HEYEW7GMUKWIQW37BO,Vip interneuron,21.74428571,0.655263158
1HEYEW7GMUKWIQW37BO,Sst interneuron,143.175,0.129999984
1HEYEW7GMUKWIQW37BO,Sst interneuron,53.5725,0.175
1HEYEW7GMUKWIQW37BO,Vip interneuron,57.03294118,0.394999989
1HEYEW7GMUKWIQW37BO,Vip interneuron,20.92,0.01
1HEYEW7GMUKWIQW37BO,Sst interneuron,30.05142857,0.325
1HEYEW7GMUKWIQW37BO,Sst interneuron,59.51,0.410638296
1HEYEW7GMUKWIQW37BO,Sst interneuron,79.295,0.314999959
1HEYEW7GMUKWIQW37BO,Sst interneuron,101.5977778,0.265714306
1HEYEW7GMUKWIQW37BO,Vip interneuron,584.44,0.065
1HEYEW7GMUKWIQW37BO,Vip interneuron,18.56943396,0.857142857
1HEYEW7GMUKWIQW37BO,Sst interneuron,50.59,0.042519689
1HEYEW7GMUKWIQW37BO,Sst interneuron,53.08,0.086428571
1HEYEW7GMUKWIQW37BO,Vip interneuron,27.28342857,0.378560547
1HEYEW7GMUKWIQW37BO,Vip interneuron,4.885,0.065714284
1HEYEW7GMUKWIQW37BO,Sst interneuron,31.535,0.269140617
1HEYEW7GMUKWIQW37BO,Sst interneuron,58.20153846,0.304736842
1HEYEW7GMUKWIQW37BO,Sst interneuron,36.1,0.022727273
1HEYEW7GMUKWIQW37BO,Vip interneuron,22.62,0.018589393
1HEYEW7GMUKWIQW37BO,Sst interneuron,113.7366667,0.125
1HEYEW7GMUKWIQW37BO,Vip interneuron,18.63,0.426785703
1HEYEW7GMUKWIQW37BO,Sst interneuron,45.91428571,0.500862057
1HEYEW7GMUKWIQW37BO,Sst interneuron,58.51625,0.405000009
1HEYEW7GMUKWIQW37BO,Sst interneuron,133.8514286,0.199999997
1HEYEW7GMUKWIQW37BO,Vip interneuron,34.44357143,0.331775736
1HEYEW7GMUKWIQW37BO,Sst interneuron,40.17333333,0.071052632
